Time,Heart,Temp,Skin,Oxygen,Beat,Trust,Sleeve,Suction,Pause,Adem,Tril,ZuigActive,VacuumMbar
125,0.00,35.19,0.00,96.15,0,2.00,2.00,0.00,2.00,76.35,-2.74,0,0.00
238,0.00,35.19,0.00,96.17,0,2.00,2.00,0.00,2.00,76.70,-2.85,0,0.00
375,0.00,35.19,0.00,96.20,0,2.00,2.00,0.00,2.00,77.03,-2.93,0,0.00
489,0.00,35.19,0.00,96.22,0,2.00,2.00,0.00,2.00,77.35,-2.98,0,0.00
595,0.00,35.25,0.00,96.24,0,2.00,2.00,0.00,2.00,77.65,-3.00,0,0.00
703,0.00,35.25,0.00,96.26,0,2.00,2.00,0.00,2.00,77.93,-2.99,0,0.00
809,0.00,35.25,0.00,96.29,0,2.00,2.00,0.00,2.00,78.19,-2.95,0,0.00
917,0.00,35.25,0.00,96.31,0,2.00,2.00,0.00,2.00,78.44,-2.88,0,0.00
1023,0.00,35.19,0.00,96.33,0,2.00,2.00,0.00,2.00,78.67,-2.79,0,0.00
1131,0.00,35.19,0.00,96.35,0,2.00,2.00,0.00,2.00,78.88,-2.66,0,0.00
1240,0.00,35.19,0.00,96.37,0,2.00,2.00,0.00,2.00,79.08,-2.51,0,0.00
1349,0.00,35.19,0.00,96.39,0,2.00,2.00,0.00,2.00,79.25,-2.33,0,0.00
1458,0.00,35.19,0.00,96.41,0,2.00,2.00,0.00,2.00,79.41,-2.13,0,0.00
1567,0.00,35.19,0.00,96.43,0,2.00,2.00,0.00,2.00,79.55,-1.91,0,0.00
1674,0.00,35.19,0.00,96.45,0,2.00,2.00,0.00,2.00,79.67,-1.67,0,0.00
1781,0.00,35.19,0.00,96.47,0,2.00,2.00,0.00,2.00,79.77,-1.41,0,0.00
1888,0.00,35.19,0.00,96.49,0,2.00,2.00,0.00,2.00,79.85,-1.14,0,0.00
1997,0.00,35.25,0.00,96.51,0,2.00,2.00,0.00,2.00,79.92,-0.86,0,0.00
2106,0.00,35.25,0.00,96.53,0,2.00,2.00,0.00,2.00,79.96,-0.57,0,0.00
2215,0.00,35.25,0.00,96.55,0,2.00,2.00,0.00,2.00,79.99,-0.27,0,0.00
2324,0.00,35.19,0.00,95.00,0,2.00,2.00,0.00,2.00,50.04,0.03,0,0.00
2465,0.00,35.19,0.00,95.03,0,2.00,2.00,0.00,2.00,50.79,0.33,0,0.00
2578,0.00,35.19,0.00,95.06,0,2.00,2.00,0.00,2.00,51.54,0.63,0,0.00
2687,0.00,35.19,0.00,95.09,0,2.00,2.00,0.00,2.00,52.29,0.92,0,0.00
2796,0.00,35.19,0.00,95.12,0,2.00,2.00,0.00,2.00,53.03,1.20,0,0.00
2905,0.00,35.19,0.00,95.14,0,2.00,2.00,0.00,2.00,53.78,1.46,0,0.00
3014,0.00,35.19,0.00,95.17,0,2.00,2.00,0.00,2.00,54.52,1.72,0,0.00
3123,0.00,35.19,0.00,95.20,0,2.00,2.00,0.00,2.00,55.26,1.96,0,0.00
3232,0.00,35.19,0.00,95.23,0,2.00,2.00,0.00,2.00,56.00,102.17,0,0.00
3342,0.00,35.19,0.00,95.26,0,2.00,2.00,0.00,2.00,56.73,102.37,0,0.00
3451,0.00,35.19,0.00,95.29,0,2.00,2.00,0.00,2.00,57.46,102.54,0,0.00
3560,0.00,35.19,0.00,95.31,0,2.00,2.00,0.00,2.00,58.18,102.69,0,0.00
3669,0.00,35.19,0.00,95.34,0,2.00,2.00,0.00,2.00,58.90,102.81,0,0.00
3776,0.00,35.19,0.00,95.37,0,2.00,2.00,0.00,2.00,59.62,102.90,0,0.00
3885,0.00,35.19,0.00,95.40,0,2.00,2.00,0.00,2.00,60.32,102.96,0,0.00
3994,0.00,35.19,0.00,95.43,0,2.00,2.00,0.00,2.00,61.02,102.99,0,0.00
4103,0.00,35.19,0.00,95.45,0,2.00,2.00,0.00,2.00,61.72,103.00,0,0.00
