Time,Heart,Temp,Skin,Oxygen,Beat,Trust,Sleeve,Suction,Pause,Adem,Tril,ZuigActive,VacuumMbar
115,0.00,30.94,0.00,95.93,0,0.15,0.15,0.00,2.00,72.51,-0.80,0,0.00
228,0.00,30.94,0.00,95.96,0,0.15,0.15,0.00,2.00,73.00,-1.09,0,0.00
334,0.00,30.94,0.00,95.98,0,0.15,0.15,0.00,2.00,73.47,-1.36,0,0.00
442,0.00,30.94,0.00,96.01,0,0.15,0.15,0.00,2.00,73.93,-1.62,0,0.00
548,0.00,30.94,0.00,96.03,0,0.15,0.15,0.00,2.00,74.37,-1.86,0,0.00
656,0.00,30.94,0.00,96.06,0,0.15,0.15,0.00,2.00,74.80,-2.09,0,0.00
762,0.00,30.94,0.00,96.08,0,0.15,0.15,0.00,2.00,75.22,-2.29,0,0.00
870,0.00,30.94,0.00,96.10,0,0.15,0.15,0.00,2.00,75.62,-2.48,0,0.00
976,0.00,30.94,0.00,96.13,0,0.15,0.15,0.00,2.00,76.00,-2.63,0,0.00
1084,0.00,30.94,0.00,96.15,0,0.15,0.15,0.00,2.00,76.36,-2.76,0,0.00
1190,0.00,30.94,0.00,96.17,0,0.15,0.15,0.00,2.00,76.71,-2.87,0,0.00
1296,0.00,30.94,0.00,96.20,0,0.15,0.15,0.00,2.00,77.05,-2.94,0,0.00
1404,0.00,31.00,0.00,96.22,0,0.15,0.15,0.00,2.00,77.36,-2.98,0,0.00
1510,0.00,31.00,0.00,96.24,0,0.15,0.15,0.00,2.00,77.66,-3.00,0,0.00
1618,0.00,30.94,0.00,96.27,0,0.15,0.15,0.00,2.00,77.94,-2.99,0,0.00
1724,0.00,30.94,0.00,96.29,0,0.15,0.15,0.00,2.00,78.21,-2.94,0,0.00
1832,0.00,30.94,0.00,96.31,0,0.15,0.15,0.00,2.00,78.45,-2.87,0,0.00
1969,0.00,31.00,0.00,96.33,0,0.15,0.15,0.00,2.00,78.68,-2.76,0,0.00
2083,0.00,31.00,0.00,96.35,0,0.15,0.15,0.00,2.00,78.89,-2.63,0,0.00
2190,0.00,31.00,0.00,96.37,0,0.15,0.15,0.00,2.00,79.09,-2.48,0,0.00
2296,0.00,31.00,0.00,96.39,0,0.15,0.15,0.00,2.00,79.26,-2.29,0,0.00
2402,0.00,31.00,0.00,96.41,0,0.15,0.15,0.00,2.00,79.42,-2.09,0,0.00
2510,0.00,31.00,0.00,96.43,0,0.15,0.15,0.00,2.00,79.56,-1.87,0,0.00
2616,0.00,31.00,0.00,96.45,0,0.15,0.15,0.00,2.00,79.67,-1.62,0,0.00
2724,0.00,31.00,0.00,96.47,0,0.15,0.15,0.00,2.00,79.78,-1.36,0,0.00
2830,0.00,31.06,0.00,96.49,0,0.15,0.15,0.00,2.00,79.86,-1.09,0,0.00
2938,0.00,31.06,0.00,96.51,0,0.15,0.15,0.00,2.00,79.92,-0.80,0,0.00
3044,0.00,31.06,0.00,96.53,0,0.15,0.15,0.00,2.00,79.97,-0.51,0,0.00
3152,0.00,31.06,0.00,96.55,0,0.15,0.15,0.00,2.00,79.99,-0.21,0,0.00
3258,0.00,31.06,0.00,95.00,0,0.15,0.15,0.00,2.00,50.08,0.09,0,0.00
3366,0.00,31.06,0.00,95.03,0,0.15,0.15,0.00,2.00,50.83,100.39,0,0.00
3472,0.00,31.06,0.00,95.06,0,0.15,0.15,0.00,2.00,51.58,100.68,0,0.00
3580,0.00,31.06,0.00,95.09,0,0.15,0.15,0.00,2.00,52.33,100.97,0,0.00
3686,0.00,31.06,0.00,95.12,0,0.15,0.15,0.00,2.00,53.07,101.25,0,0.00
3794,0.00,31.06,0.00,95.15,0,0.15,0.15,0.00,2.00,53.82,101.51,0,0.00
3900,0.00,31.06,0.00,95.17,0,0.15,0.15,0.00,2.00,54.56,101.77,0,0.00
4040,0.00,31.06,0.00,95.20,0,0.15,0.15,0.00,2.00,55.30,102.00,0,0.00
4151,0.00,31.06,0.00,95.23,0,0.15,0.15,0.00,2.00,56.04,102.21,0,0.00
4259,0.00,31.06,0.00,95.26,0,0.15,0.15,0.00,2.00,56.77,102.40,0,0.00
4365,0.00,31.06,0.00,95.29,0,0.15,0.15,0.00,2.00,57.50,102.57,0,0.00
4473,0.00,31.06,0.00,95.32,0,0.15,0.15,0.00,2.00,58.22,102.71,0,0.00
4579,0.00,31.12,0.00,95.34,0,0.15,0.15,0.00,2.00,58.94,102.83,0,0.00
4687,0.00,31.12,0.00,95.37,0,0.15,0.15,0.00,2.00,59.65,102.91,0,0.00
4793,0.00,31.12,0.00,95.40,0,0.15,0.15,0.00,2.00,60.36,102.97,0,0.00
4901,0.00,31.12,0.00,95.43,0,0.15,0.15,0.00,2.00,61.06,103.00,0,0.00
5007,0.00,31.12,0.00,95.46,0,0.15,0.15,0.00,2.00,61.75,102.99,0,0.00
5115,0.00,31.12,0.00,95.48,0,0.15,0.15,0.00,2.00,62.44,102.96,0,0.00
5221,0.00,31.12,0.00,95.51,0,0.15,0.15,0.00,2.00,63.12,102.90,0,0.00
5329,0.00,31.12,0.00,95.54,0,0.15,0.15,0.00,2.00,63.79,102.81,0,0.00
5435,0.00,31.12,0.00,95.57,0,0.15,0.15,0.00,2.00,64.45,102.69,0,0.00
5541,0.00,31.19,0.00,95.59,0,0.15,0.15,0.00,2.00,65.10,102.54,0,0.00
5649,0.00,31.19,0.00,95.62,0,0.15,0.15,0.00,2.00,65.75,102.37,0,0.00
5755,0.00,31.19,0.00,95.65,0,0.15,0.15,0.00,2.00,66.38,102.18,0,0.00
5863,0.00,31.19,0.00,95.68,0,0.15,0.15,0.00,2.00,67.00,101.96,0,0.00
5969,0.00,31.19,0.00,95.70,0,0.15,0.15,0.00,2.00,67.62,101.72,0,0.00
6109,0.00,31.25,0.00,95.73,0,0.15,0.15,0.00,2.00,68.22,101.47,0,0.00
6222,0.00,31.25,0.00,95.76,0,0.15,0.15,0.00,2.00,68.81,101.20,0,0.00
6328,0.00,31.25,0.00,95.78,0,0.15,0.15,0.00,2.00,69.39,100.92,0,0.00
6449,0.00,31.25,0.00,95.81,0,0.15,0.15,0.00,2.00,69.95,0.63,0,0.00
6555,0.00,31.25,0.00,95.83,0,0.15,0.15,0.00,2.00,70.51,0.34,0,0.00
6663,0.00,31.25,0.00,95.86,0,0.15,0.15,0.00,2.00,71.05,0.04,0,0.00
6769,0.00,31.25,0.00,95.89,0,0.15,0.15,0.00,2.00,71.57,-0.26,0,0.00
6877,0.00,31.25,0.00,95.91,0,0.15,0.15,0.00,2.00,72.09,-0.56,0,0.00
6983,0.00,31.25,0.00,95.94,0,0.15,0.15,0.00,2.00,72.59,-0.85,0,0.00
7091,0.00,31.25,0.00,95.96,0,0.15,0.15,0.00,2.00,73.08,-1.13,0,0.00
7197,0.00,31.25,0.00,95.99,0,0.15,0.15,0.00,2.00,73.55,-1.41,0,0.00
7305,0.00,31.25,0.00,96.01,0,0.15,0.15,0.00,2.00,74.01,-1.66,0,0.00
7411,0.00,31.25,0.00,96.04,0,0.15,0.15,0.00,2.00,74.45,-1.90,0,0.00
7519,0.00,31.25,0.00,96.06,0,0.15,0.15,0.00,2.00,74.87,-2.13,0,0.00
7625,0.00,31.25,0.00,96.08,0,0.15,0.15,0.00,2.00,75.29,-2.33,0,0.00
7733,0.00,31.31,0.00,96.11,0,0.15,0.15,0.00,2.00,75.68,-2.50,0,0.00
7839,0.00,31.31,0.00,96.13,0,0.15,0.15,0.00,2.00,76.06,-2.66,0,0.00
7947,0.00,31.31,0.00,96.16,0,0.15,0.15,0.00,2.00,76.42,-2.78,0,0.00
